web-scraper-order,web-scraper-start-url,link,link-href,title,author,description,genres,isbn,location,cover,date
1613083950-2938,https://www.goodreads.com/list/show/13430.Silicon_Valley_History,"The Intel Trinity: How Robert Noyce, Gordon Moore, and Andy Grove Built the World's Most Important Company",https://www.goodreads.com/book/show/18606951-the-intel-trinity,"The Intel Trinity: How Robert Noyce, Gordon Moore, and Andy Grove Built the World's Most Important Company",Michael S. Malone,null,Science,null,null,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1397422937l/18606951.jpg,null
1613083921-2904,https://www.goodreads.com/list/show/13430.Silicon_Valley_History,The Making of Second Life: Notes from the New World,https://www.goodreads.com/book/show/1729725.The_Making_of_Second_Life,The Making of Second Life: Notes from the New World,Wagner James Au,null,Computers,9780061353208,null,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1442336261l/1729725._SY475_.jpg,null
1613084462-3557,https://www.goodreads.com/list/show/13430.Silicon_Valley_History,The Master Switch: The Rise and Fall of Information Empires,https://www.goodreads.com/book/show/8201080-the-master-switch,The Master Switch: The Rise and Fall of Information Empires,Tim Wu,null,Computers,9780307269935,null,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1320518400l/8201080.jpg,(first published 2010)
1613084101-3148,https://www.goodreads.com/list/show/13430.Silicon_Valley_History,The Medium is the Massage,https://www.goodreads.com/book/show/25955.The_Medium_is_the_Massage,The Medium is the Massage,Marshall McLuhan,null,Theory,9781584230700,null,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1598544928l/25955._SY475_.jpg,(first published 1967)
1613083913-2898,https://www.goodreads.com/list/show/13430.Silicon_Valley_History,The Net Delusion: The Dark Side of Internet Freedom,https://www.goodreads.com/book/show/10003400-the-net-delusion,The Net Delusion: The Dark Side of Internet Freedom,Evgeny Morozov,null,Philosophy,9781586488758,null,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1297025324l/10003400.jpg,(first published November 16th 2010)
1613084319-3417,https://www.goodreads.com/list/show/13430.Silicon_Valley_History,The New New Thing: A Silicon Valley Story,https://www.goodreads.com/book/show/10658.The_New_New_Thing,The New New Thing: A Silicon Valley Story,Michael   Lewis,null,Science,9780140296464,null,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1442523392l/10658._SY475_.jpg,(first published 1999)
1613084109-3156,https://www.goodreads.com/list/show/13430.Silicon_Valley_History,The One Device: The Secret History of the iPhone,https://www.goodreads.com/book/show/32603496-the-one-device,The One Device: The Secret History of the iPhone,Brian Merchant,null,Science,9780593078419,Cupertino,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1481570357l/32603496._SY475_.jpg,null
1613083838-2800,https://www.goodreads.com/list/show/13430.Silicon_Valley_History,The Perfect Store: Inside eBay,https://www.goodreads.com/book/show/324739.The_Perfect_Store,The Perfect Store: Inside eBay,Adam Cohen,null,Computers,9780316164931,San Jose,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1344267788l/324739.jpg,(first published May 25th 2003)
1613084285-3361,https://www.goodreads.com/list/show/13430.Silicon_Valley_History,The Pixar Touch: The Making of a Company,https://www.goodreads.com/book/show/2632830-the-pixar-touch,The Pixar Touch: The Making of a Company,David A. Price,null,Culture,9780307265753,Emeryville,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1438915448l/2632830._SX318_.jpg,(first published January 1st 2008)
1613083822-2774,https://www.goodreads.com/list/show/13430.Silicon_Valley_History,The Road Ahead,https://www.goodreads.com/book/show/1081637.The_Road_Ahead,The Road Ahead,Bill  Gates,null,Biography,9780670772896,null,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1180829010l/1081637.jpg,null
